SNO,Product_Variant,VOLUME,Price,BRAND,COUNTRY,Coutry of origin,Main_Category,Sub_Category,Sub_Sub_Category,SIZE,TYPES,Description
0,LEGACY BLENDED WHISKY_750ML,750,1450,LEGACY,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 180ML 375ML,,"A premium blended whisky a one
of kind blend of Indian and Scottish malts, crafted with Indian grains to
create a truly Indian taste., A premium blended whisky
–a one of kind blend of Indian and Scottish malts, crafted with Indian grains
to create a truly Indian taste., A rich blend of fruity
notes layered with subtle peaty flavour., Undertones of toasted oak,
a whiff of spice, topped with a delicate sweet vanillic smoky finish., Impeccably smooth, perfectly
balanced."
1,LEGACY BLENDED WHISKY_180ML,180,350,LEGACY,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 180ML 375ML,,"A premium blended whisky a one
of kind blend of Indian and Scottish malts, crafted with Indian grains to
create a truly Indian taste., A premium blended whisky
–a one of kind blend of Indian and Scottish malts, crafted with Indian grains
to create a truly Indian taste., A rich blend of fruity
notes layered with subtle peaty flavour., Undertones of toasted oak,
a whiff of spice, topped with a delicate sweet vanillic smoky finish., Impeccably smooth, perfectly
balanced."
2,LEGACY BLENDED WHISKY_375ML,375,725,LEGACY,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 180ML 375ML,,"A premium blended whisky a one
of kind blend of Indian and Scottish malts, crafted with Indian grains to
create a truly Indian taste., A premium blended whisky
–a one of kind blend of Indian and Scottish malts, crafted with Indian grains
to create a truly Indian taste., A rich blend of fruity
notes layered with subtle peaty flavour., Undertones of toasted oak,
a whiff of spice, topped with a delicate sweet vanillic smoky finish., Impeccably smooth, perfectly
balanced."
3,OAKSMITH GOLD INTERNATIONAL BLENDED WHISKY_180ML,180,365,OAKSMITH,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"Oaksmith Gold International Blended Whisky is a
rare blend of Scotch Malt whiskies and Kentucky Straight Bourbon Whisky, some
from distilleries over 200 years old - with the finest grain spirits. This
delicate blend is crafted by globally revered blender from Japan – Shinji
Fukuyo, Chief Blender Suntory, the Founding House of Japanese Whisky - and who
has created some of the world’s most awarded whiskies like Yamazaki and Hibiki.
As a result, the taste is rich, smooth and uniquely international., Color - Rich Gold, Aroma - Rich fruity
and sweet top note followed by a hint of smoke (peat)., Flavor - Mild but
full-body with woodiness originated from oak cask., Finish - Clean and
smooth. "
4,OAKSMITH GOLD INTERNATIONAL BLENDED WHISKY_375ML,375,725,OAKSMITH,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"Oaksmith Gold International Blended Whisky is a
rare blend of Scotch Malt whiskies and Kentucky Straight Bourbon Whisky, some
from distilleries over 200 years old - with the finest grain spirits. This
delicate blend is crafted by globally revered blender from Japan – Shinji
Fukuyo, Chief Blender Suntory, the Founding House of Japanese Whisky - and who
has created some of the world’s most awarded whiskies like Yamazaki and Hibiki.
As a result, the taste is rich, smooth and uniquely international., Color - Rich Gold, Aroma - Rich fruity
and sweet top note followed by a hint of smoke (peat)., Flavor - Mild but
full-body with woodiness originated from oak cask., Finish - Clean and
smooth. "
5,OAKSMITH GOLD INTERNATIONAL BLENDED WHISKY_750ML,750,1445,OAKSMITH,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"Oaksmith Gold International Blended Whisky is a
rare blend of Scotch Malt whiskies and Kentucky Straight Bourbon Whisky, some
from distilleries over 200 years old - with the finest grain spirits. This
delicate blend is crafted by globally revered blender from Japan – Shinji
Fukuyo, Chief Blender Suntory, the Founding House of Japanese Whisky - and who
has created some of the world’s most awarded whiskies like Yamazaki and Hibiki.
As a result, the taste is rich, smooth and uniquely international., Color - Rich Gold, Aroma - Rich fruity
and sweet top note followed by a hint of smoke (peat)., Flavor - Mild but
full-body with woodiness originated from oak cask., Finish - Clean and
smooth. "
6,OAKSMITH INTERNATIONAL BLENDED WHISKY_180ML,180,235,OAKSMITH,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"Oaksmith International Blended
Whisky aims to set a new standard by being the first in India to blend Scotch
Malt Whiskies, Kentucky Straight Bourbon Whisky - some from distilleries over
200 years old - with the finest grain spirits. This blend is crafted by
globally revered blender from Japan – Shinji Fukuyo, Chief Blender Suntory, the
Founding House of Japanese Whisky - and who has created some of the world’s
most awarded whiskies like Yamazaki and Hibiki., Color - Warm Amber, Aroma - Soft touch to
nose including grain sweetness., Flavor - Clean and
mild with peat accent and oak woodiness., Finish - Layer of spice
and peat. Clean and beautiful."
7,OAKSMITH INTERNATIONAL BLENDED WHISKY_375ML,375,470,OAKSMITH,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"Oaksmith International Blended
Whisky aims to set a new standard by being the first in India to blend Scotch
Malt Whiskies, Kentucky Straight Bourbon Whisky - some from distilleries over
200 years old - with the finest grain spirits. This blend is crafted by
globally revered blender from Japan – Shinji Fukuyo, Chief Blender Suntory, the
Founding House of Japanese Whisky - and who has created some of the world’s
most awarded whiskies like Yamazaki and Hibiki., Color - Warm Amber, Aroma - Soft touch to
nose including grain sweetness., Flavor - Clean and
mild with peat accent and oak woodiness., Finish - Layer of spice
and peat. Clean and beautiful."
8,OAKSMITH INTERNATIONAL BLENDED WHISKY_750ML,750,935,OAKSMITH,INDIA,Indian,Spirits ,indian-whiskey,Blended,180ML 375ML 750ML,BLENDED WHISKEY,"Oaksmith International Blended
Whisky aims to set a new standard by being the first in India to blend Scotch
Malt Whiskies, Kentucky Straight Bourbon Whisky - some from distilleries over
200 years old - with the finest grain spirits. This blend is crafted by
globally revered blender from Japan – Shinji Fukuyo, Chief Blender Suntory, the
Founding House of Japanese Whisky - and who has created some of the world’s
most awarded whiskies like Yamazaki and Hibiki., Color - Warm Amber, Aroma - Soft touch to
nose including grain sweetness., Flavor - Clean and
mild with peat accent and oak woodiness., Finish - Layer of spice
and peat. Clean and beautiful."
9,ROYAL RANTHAMBORE_750ML,750,2700,ROYAL RANTHAMBORE,INDIA,Indian,Spirits ,indian-whiskey,Blended,750ML 180ML 375ML,BLENDED WHISKEY,"Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky., Royal Ranthambore is crafted
from different bespoke blended malt scotch from various regions of Scotland.
Scotch grain is also blended to harmonize the Whisky."
